Unnamed: 0,Compound,Thermal Conductivity (Wm-1 K-1)
0,AgKTe,0.508
1,BeNaP,4.08
2,BiBaK,2.19
3,BiKSr,1.96
4,BiLiSr,3.04
5,CoAsZr,24.0
6,CoBiHf,18.6
7,CoSbZr,25.0
8,CoScSe,15.0
9,CoSiTa,37.8
11,GeCaZn,2.75
12,GeNaY,8.06
13,LiBaSr,0.5820000000000001
14,IrPTi,27.4
16,NiSbSc,19.5
17,NiSnTi,17.9
18,NiSnZr,19.6
20,PdAsY,5.48
21,PdSrTe,1.16
22,PtGaTa,32.9
23,PtGeTi,16.9
24,PtLnNb,16.5
25,RhHfSb,21.8
26,RhNbSi,15.3
27,RuAsV,23.5
28,SbCaK,2.7
29,SiCdSr,13.5
30,SnBaSr,2.01
31,TeAgLi,1.52
