SMILES,epsilon_e
C(CC)C,2.35
c1ccccc1CC[C@@H](C)c1ccccc1,2.07
OCC[C@H](O)C,2.44
OCC[C@H](O)C,2.35
O(C(=O)C(C)C)C,2.44
O(c1ccc(cc1)C(=O)c1ccc(O)cc1)c1ccccc1,3.72
OCCCC[C@@H](O)CCC,2.34
O(CCOC)C,2.19
NCCC,2.55
c1ccccc1CCC,3.28
s1cccc1CCCC,3.26
N(N)CC,2.69
S(=O)(=O)(c1ccc(O)cc1)c1ccccc1,3.52
N(CC)c1ccccc1,3.63
s1cccc1NCC,3.55
O=C(N)CC,2.71
O=C(CC)C=O,2.6
O=C(CC)c1ccccc1,3.46
s1cccc1C(=O)CC,3.72
Nc1ccc(cc1)CC,3.63
O=Cc1ccc(cc1)CC,3.6
c1cc(ccc1-c1ccccc1)CC,4.14
s1cccc1-c1ccc(cc1)CC,4.21
C(CC(C)C)(C)(C)C,2.76
s1c(ccc1N)CC,3.55
s1c(ccc1C=O)CC,3.7
s1c(ccc1CC)-c1ccccc1,4.22
s1c(ccc1CC)-c1sccc1,4.35
N(CN)C,2.63
O=CCNC,2.67
N(Cc1ccccc1)C,3.4
s1cccc1CNC,3.34
O=CNNC,2.97
FCC[C@@H](F)C,2.24
N(NC)c1ccccc1,3.83
s1cccc1NNC,3.67
O=C(NC)N,2.84
O=C(NC)C=O,2.97
O=C(NC)c1ccccc1,3.57
s1cccc1C(=O)NC,3.66
N(C)c1ccc(N)cc1,3.89
O=Cc1ccc(NC)cc1,4.93
N(C)c1ccc(cc1)-c1ccccc1,4.65
s1cccc1-c1ccc(NC)cc1,4.58
O(CO)C,2.41
s1c(NC)ccc1N,3.76
s1c(ccc1NC)C=O,4.79
s1c(ccc1NC)-c1ccccc1,4.79
s1c(ccc1NC)-c1sccc1,4.88
O=C(CC=O)C,2.65
O=C(Cc1ccccc1)C,3.41
s1cccc1CC(=O)C,3.34
O=C(NC=O)C,2.98
O=C(Nc1ccccc1)C,3.76
FC(F)(C(F)(F)C(F)F)C(F)F,2.08
O=C(C(=O)N)C,2.99
O=C(C(=O)C)c1ccccc1,4.03
s1cccc1C(=O)C(=O)C,4.08
O=C(C)c1ccc(N)cc1,4.92
O=C(C)c1ccc(cc1)C=O,3.65
O=C(C)c1ccc(cc1)-c1ccccc1,4.68
s1cccc1-c1ccc(cc1)C(=O)C,4.71
s1c(ccc1N)C(=O)C,4.77
s1c(ccc1C=O)C(=O)C,3.96
s1c(ccc1C(=O)C)-c1ccccc1,4.94
s1c(ccc1C(=O)C)-c1sccc1,5.38
c1cc(ccc1Cc1ccccc1)C,3.65
s1cccc1Cc1ccc(cc1)C,3.64
N(N)c1ccc(cc1)C,3.83
O=CNc1ccc(cc1)C,3.79
N(c1ccc(cc1)C)c1ccccc1,4.23
s1cccc1Nc1ccc(cc1)C,3.87
O=C(N)c1ccc(cc1)C,3.56
FC(F)([C@@H](F)C(F)F)CF,2.08
O=C(C=O)c1ccc(cc1)C,4.05
O=C(c1ccc(cc1)C)c1ccccc1,3.69
s1cccc1C(=O)c1ccc(cc1)C,3.99
Nc1ccc(cc1)-c1ccc(cc1)C,4.66
O=Cc1ccc(cc1)-c1ccc(cc1)C,4.68
c1cc(ccc1-c1ccc(cc1)C)-c1ccccc1,4.98
s1cccc1-c1ccc(cc1)-c1ccc(cc1)C,5.22
s1c(ccc1N)-c1ccc(cc1)C,4.66
s1c(ccc1C=O)-c1ccc(cc1)C,4.96
s1c(ccc1-c1ccccc1)-c1ccc(cc1)C,5.01
N#CCC[C@@H](C#N)C,2.41
"O(C(=O)CC[C@H](C(OCCCC)=O)C)C
CCC",2.65
s1c(ccc1-c1sccc1)-c1ccc(cc1)C,5.35
s1c(ccc1C)Cc1sccc1,3.61
s1c(ccc1NN)C,3.7
s1c(ccc1NC=O)C,3.8
s1c(ccc1Nc1sccc1)C,4.57
s1c(ccc1C)C(=O)N,3.7
s1c(ccc1C)C(=O)C=O,4.06
s1c(ccc1C)C(=O)c1ccccc1,4.06
s1c(ccc1C)C(=O)c1sccc1,5.38
O(C(=O)CC[C@@H](C(OCC)=O)C)CC,2.57
s1c(ccc1C)-c1ccc(N)cc1,4.6
s1c(ccc1C)-c1ccc(cc1)C=O,4.71
s1c(ccc1C)-c1ccc(cc1)-c1ccccc1,5.2
s1c(ccc1C)-c1ccc(cc1)-c1sccc1,5.43
s1c(ccc1C)-c1sc(N)cc1,4.86
s1c(ccc1C=O)-c1sc(cc1)C,5.36
s1c(ccc1-c1sc(cc1)C)-c1ccccc1,5.43
s1c(ccc1-c1sccc1)-c1sc(cc1)C,5.81
N(NN)N,3.0
O=CNNN,3.29
C(CCC)(C)C,2.35
N(NN)c1ccccc1,4.4
s1cccc1NNN,3.86
O=C(NN)c1ccccc1,3.97
s1cccc1C(=O)NN,5.01
O=Cc1ccc(NN)cc1,4.01
N(N)c1ccc(cc1)-c1ccccc1,5.92
s1cccc1-c1ccc(NN)cc1,4.73
s1c(ccc1NN)C=O,5.2
s1c(ccc1NN)-c1ccccc1,5.83
s1c(ccc1NN)-c1sccc1,5.34
O=C(NC=O)N,3.37
O=C(Nc1ccccc1)N,4.61
O=C(C(=O)N)c1ccccc1,5.64
s1cccc1C(=O)C(=O)N,6.25
O=C(N)c1ccc(cc1)-c1ccccc1,5.81
s1cccc1-c1ccc(cc1)C(=O)N,5.29
O(C(=O)CC[C@H](C(OC)=O)C)C,2.06
s1c(ccc1C=O)C(=O)N,4.35
s1c(ccc1C(=O)N)-c1ccccc1,6.75
s1c(ccc1C(=O)N)-c1sccc1,7.65
O(c1cc2c(cc1)C(=O)NC2=O)c1cc2c(cc1)C (=O)NC2=O,4.16
FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)NC 2=O)c1cc2c(cc1)C(=O)NC2=O,3.42
ClCC[C@@H](Cl)C,2.71
Cl[C@@](F)(C(F)(F)[C@@H](Cl)F)C(F)F,2.4
O(C(=O)CC[C@@H](C(OCCO)=O)C)C CO,2.6
O=C(NCCC)CCCCC(=O)NCCC,2.46
OCCCC,2.36
s1c(ccc1C)-c1sccc1,4.4
s1c(ccc1C(C)C)-c1sccc1,3.71
c1ccccc1-c1ccccc1,6.64
c1ccccc1-c1ccccc1,4.39
n1ccccc1-c1ncccc1,6.42
[nH]1cccc1-c1[nH]ccc1,7.55
