Name,Value
polytetrafluoroethylene,2.1
poly(4-methyl-1-pentene),2.13
polypropylene,2.2
polyisobutylene,2.23
poly(vinyl cyclohexane),2.25
polybutylene[poly(1-butene),2.27
polyethylene,2.3
poly(tetrafluoro-p-xylylene),2.35
polyisoprene,2.37
poly(o-methyl styrene),2.49
"poly(1,4-butadiene)",2.51
poly(beta-vinyl naphthalene),2.51
polystyrene,2.55
poly(alpha-methyl styrene),2.57
poly(cyclohexyl methacrylate),2.58
polychlorotrifluoroethylene,2.6
poly(alpha-vinyl naphthalene),2.6
"poly[oxy(2,6-dimethyl-1,4-phenylene)]",2.6
"poly[1,1-cyclohexane bis(4-phenyl)carbonate]",2.6
poly(p-xylylene),2.65
poly(p-chloro styrene),2.65
ethyl cellulose,2.7
poly(isobutyl mathacrylate),2.7
poly(dimethyl siloxane),2.75
"poly[oxy(2,6-diphenyl-1,4-phenylene)]",2.8
poly(m-chloro styrene),2.8
poly(n-butyl methacrylate),2.82
poly(vinylidene chloride),2.85
Bisphenol-A carbonate,2.9
poly(N-vinyl carbazole),2.9
"poly[1,1-ethane bis(4-phenyl)carbonate]",2.9
"poly(3,4-dicholorostyrene)",2.94
poly(chloro-p-xylylene),2.95
poly(vinyl chloride),2.95
"Poly(1,4-cyclohexylidene dimethylene terephthalate)",3.0
poly(ethyl methacrylate),3.0
"Poly(oxy-2,2-dichloromethyltrimethylene)",3.0
Poly(p-methoxy-o-chloro styrene),3.08
Poly(methyl methacrylate),3.1
Poly(thio-p-phenylene),3.1
polyoxymethylene,3.1
poly(tetramethylene terephthalate),3.1
poly(ethyl alpha-chloroacrylate),3.1
Ultem1000,3.15
"poly[4,4'-isopropylidene diphenoxy di(4- phenylene)sulfone]",3.18
Poly(ether ether ketone),3.2
Poly(vinyl acetate),3.25
Poly(ethylene terephthalate),3.25
Poly(p-hydroxybenzoate),3.28
"Poly(2,2'-(m-phenylene)-5,5'-bibenzimidazole]",3.3
Poly(methyl alpha-chloroacrylate),3.4
"Poly[4,4'-diphenoxy di(4-phenylene)sulfone]",3.44
Poly(upsilon-caprolactam),3.5
Poly(hexamethylene adipamide),3.5
"Poly[N,N'-(p,p'-oxydiphenylene)pyromellitimide]",3.5
"Poly[4,4'-sulfone diphenoxy di(4-phenylene)sulfone]",3.8
Polyacrylonitrile,4.0
