SMILES,Loss(1kHz)
O=C(Nc1cc(NC(=O)N)c(cc1)C)NCC,0.00758
O=C(Nc1cc(NC(=O)N)c(cc1)C)NCCC,0.0173
O=C(Nc1cc(NC(=O)N)c(cc1)C)NCCC,0.00889
O(CCNC(=O)Nc1cc(NC(=O)N)c(cc1)C)CC,0.0429
O(C[C@H](NC(=O)Nc1cc(NC(=O)N)c(cc1)C)C)C[C@@H](OCCC)C,0.0166
O(CC)C(=O)Nc1cc(NC(O)=O)c(cc1)C,0.0126
O(CCC)C(=O)Nc1cc(NC(O)=O)c(cc1)C,0.0139
O(CCC)C(=O)Nc1cc(NC(O)=O)c(cc1)C,0.0154
O(CCCCCC)C(=O)Nc1cc(NC(O)=O)c(cc1)C,0.0156
S(CCCCCC)C(=O)Nc1cc(NC(S)=O)c(cc1)C,0.0226
S(CCOCC)C(=O)Nc1cc(NC(S)=O)c(cc1)C,0.0137
O=C1N(CCC)C(=O)c2c1cc1c(c2)C(=O)NC1=O,0.00055
O=C1N([C@@H](CO[C@H](COCCC)C)C)C(=O)c2c1cc1c(c2)C(= O)NC1=O,0.00518
O=C1N([C@@H](COCCOCCOCCC)C)C(=O)c2c1cc1c(c2)C(=O) NC1=O,0.0066
"O=C1N([C@@H](CO[C@H](COCCC)C)C)C(=O)c2c1cc(cc2)C(=
O)c1cc2c(cc1)C(=O)NC2=O",0.00256
"O=C1N([C@@H](COCCOCCOCCC)C)C(=O)c2c1cc(cc2)C(=O)c
1cc2c(cc1)C(=O)NC2=O",0.00555
O(c1cc2c(cc1)C(=O)N([C@@H](CO[C@H](COCCC)C)C)C2=O)c1cc2c(cc1)C(=O)NC2=O,0.0016600000000000002
"O(c1cc2c(cc1)C(=O)N([C@@H](COCCOCCOCCC)C)C2=O)c1cc
2c(cc1)C(=O)NC2=O",0.00229
FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)N([C@@H](COCCOCCOCCC)C)C2=O)c1cc2c(cc1)C(=O)NC2=O,0.007909999999999999
O=C1N(CCC)C(=O)c2c1cc(cc2)C(=O)c1cc2c(cc1)C(=O)NC2=O,0.00255
O=C1N(CCC)C(=O)c2c1cc(cc2)C(=O)c1cc2c(cc1)C(=O)NC2=O,0.00094
O=C(Nc1cc(NC(=O)N)c(cc1)C)NCCCCCC,0.0312
O(CCOC(=O)Nc1cc(NC(O)=O)c(cc1)C)CC,0.0188
S(CCC)C(=O)Nc1cc(NC(S)=O)c(cc1)C,0.012
S(CC)C(=O)Nc1cc(NC(S)=O)c(cc1)C,0.0141
FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)N([C@@H](COC(COCCC)C)C)C2=O)c1cc2c(cc1)C(=O)NC2=O,0.0147
C(C)C,0.0003
CC,0.0003
Clc1cc(C)c(Cl)cc1C,0.003
Clc1cc(ccc1C)C,0.02
FC(F)C,0.016
FC(F)C(F)F,0.0001
FCC,1.6
O(C(=O)c1ccc(cc1)C(O)=O)CC,0.005
O(C(O)=O)c1ccc(cc1)C(C)(C)c1ccccc1,0.0015
O1CC(O)C(O)C(O)C1CO,0.015
O1CC(OC(=O)C)C(OC(=O)C)C(O)C1COC(=O)C,0.016
O=C(N)CCCCC,0.016
O=C(N)CCCCCCCCCCC,0.04
S(=O)(=O)(c1ccc(O)cc1)c1ccccc1,0.0035
c1c(C)c(ccc1C)C,0.0025
c1cc(ccc1C)C,0.0002
c1ccccc1CC,0.0005
